chr,start,mappability,gc_content,end,sample_H,sample_I,sample_J
NC_053022.1,22200000,0.837482,0.545027,22500000,28612,33346,27373
NC_053022.1,22500000,0.874587,0.546327,22800000,23048,23129,22655
NC_053022.1,22800000,0.709448,0.52334,23100000,20348,19586,19386
NC_053022.1,23100000,0.577724,0.519197,23400000,14309,12943,13106
NC_053022.1,23400000,0.541411,0.532437,23700000,22878,28382,21307
NC_053022.1,23700000,0.616813,0.540013,24000000,21946,27262,20967
NC_053022.1,24000000,0.778508,0.53939,24300000,18934,19341,18767
NC_053022.1,24300000,0.900649,0.54781,24600000,23729,23241,23152
NC_053022.1,24600000,0.656512,0.545157,24900000,13085,15316,12273
NC_053022.1,24900000,0.743147,0.536343,25200000,34090,32847,32815
NC_053022.1,25200000,0.906473,0.543843,25500000,23153,22921,22084
NC_053022.1,25500000,0.858681,0.545887,25800000,17075,16929,16210
NC_053022.1,25800000,0.872958,0.558137,26100000,19251,18721,18201
NC_053022.1,26100000,0.940291,0.556833,26400000,19683,19712,19167
NC_053022.1,26400000,0.744993,0.544787,26700000,13351,12717,12668
NC_053022.1,26700000,0.929628,0.56215,27000000,20130,19520,19474
NC_053022.1,27000000,0.890785,0.541367,27300000,19308,18836,18579
NC_053022.1,27300000,0.919722,0.553853,27600000,19612,19106,19022
NC_053022.1,27600000,0.877436,0.543447,27900000,18874,18470,17724
NC_053022.1,27900000,0.912769,0.555537,28200000,17214,16453,16335
NC_053022.1,28200000,0.879275,0.555343,28500000,27771,26529,25790
NC_053022.1,28500000,0.705446,0.531947,28800000,12680,12637,12177
NC_053022.1,28800000,0.708953,0.54203,29100000,20270,20308,19886
NC_053022.1,29100000,0.916897,0.541893,29400000,24081,23033,22938
NC_053022.1,29400000,0.752104,0.535553,29700000,22517,21705,21450
NC_053022.1,29700000,0.547969,0.521397,30000000,17052,14895,14914
NC_053022.1,30000000,0.879651,0.547067,30300000,20640,19676,19414
NC_053022.1,30300000,0.707801,0.557003,30600000,17339,17324,16935
NC_053022.1,30600000,0.802231,0.55008,30900000,18367,18243,18170
NC_053022.1,30900000,0.867551,0.537497,31200000,23159,22332,22288
NC_053022.1,31200000,0.519152,0.535283,31500000,13274,13131,12979
NC_053022.1,31500000,0.813159,0.549847,31800000,29019,27680,27750
NC_053022.1,31800000,0.915322,0.543883,32100000,20164,20217,19608
NC_053022.1,32100000,0.882816,0.542883,32400000,22336,21025,20932
NC_053022.1,32400000,0.746764,0.539987,32700000,17124,16700,16380
NC_053022.1,32700000,0.522547,0.55052,33000000,14441,13913,13500
NC_053022.1,33000000,0.717775,0.534163,33300000,15944,15167,15048
NC_053022.1,33300000,0.742509,0.516937,33600000,18069,16905,16776
NC_053022.1,33600000,0.824806,0.536747,33900000,20315,19373,19064
NC_053022.1,33900000,0.757572,0.551453,34200000,16982,16499,16347
NC_053022.1,34200000,0.792918,0.53821,34500000,11045,10159,10400
NC_053022.1,34500000,0.769057,0.54567,34800000,17458,17229,16728
NC_053022.1,34800000,0.749919,0.5302,35100000,13354,13031,12984
NC_053022.1,35100000,0.80267,0.52744,35400000,18903,18553,18020
NC_053022.1,35400000,0.81889,0.564827,35700000,18568,17526,17188
NC_053022.1,35700000,0.738694,0.544233,36000000,17041,16663,16240
NC_053022.1,36000000,0.95542,0.542653,36300000,19978,19562,19524
NC_053022.1,36300000,0.752695,0.536037,36600000,15276,15079,14289
NC_053022.1,36600000,0.564546,0.509287,36900000,14483,12738,12960
NC_053022.1,36900000,0.718617,0.530017,37200000,18672,18578,18140
NC_053022.1,37200000,0.853573,0.540763,37500000,21334,20969,20033
NC_053022.1,37500000,0.683137,0.550827,37800000,15578,15334,15009
NC_053022.1,37800000,0.759927,0.54621,38100000,16736,15998,15786
NC_053022.1,38100000,0.675399,0.549773,38400000,18387,17389,17412
NC_053022.1,38400000,0.930862,0.536457,38700000,23074,22869,22372
NC_053022.1,38700000,0.930736,0.53052,39000000,25164,24807,24235
NC_053022.1,39000000,0.93769,0.548653,39300000,18939,18740,18161
NC_053022.1,39300000,0.92407,0.5504,39600000,20295,19370,19107
NC_053022.1,39600000,0.938951,0.54434,39900000,18407,18422,17958
NC_053022.1,39900000,0.811555,0.539033,40200000,18303,17782,17849
NC_053022.1,40200000,0.946288,0.561907,40500000,21675,21364,20833
NC_053022.1,40500000,0.898701,0.535257,40800000,27500,26693,26285
NC_053022.1,40800000,0.898831,0.55244,41100000,22252,21284,21231
NC_053022.1,41100000,0.740302,0.560057,41400000,17708,16942,16845
NC_053022.1,41400000,0.664616,0.523887,41700000,18829,17966,17548
NC_053022.1,41700000,0.586805,0.529077,42000000,18436,17946,17462
NC_053022.1,42000000,0.711799,0.537507,42300000,15434,14454,14462
NC_053022.1,42300000,0.625293,0.539603,42600000,16596,16431,16075
NC_053022.1,42600000,0.689417,0.53687,42900000,18451,18247,17590
NC_053022.1,42900000,0.691739,0.55398,43200000,17135,16782,16432
NC_053022.1,43200000,0.932777,0.556833,43500000,18764,18409,18269
NC_053022.1,43500000,0.791453,0.549443,43800000,16280,15517,15501
NC_053022.1,43800000,0.854027,0.53712,44100000,20127,20005,19233
NC_053022.1,44100000,0.821289,0.54869,44400000,18313,17163,16814
NC_053022.1,44400000,0.904022,0.545847,44700000,18815,17850,17955
NC_053022.1,44700000,0.944916,0.52535,45000000,17080,16711,16358
NC_053022.1,45000000,0.867381,0.530743,45300000,16547,16223,15502
NC_053022.1,45300000,0.794205,0.542793,45600000,16183,15305,15172
NC_053022.1,45600000,0.917498,0.545937,45900000,23546,22790,22527
NC_053022.1,45900000,0.890037,0.51914,46200000,18372,17968,17720
NC_053022.1,46200000,0.955893,0.540873,46500000,18777,19031,18457
NC_053022.1,46500000,0.896102,0.532573,46800000,17643,17604,17336
NC_053022.1,46800000,0.953733,0.547183,47100000,14988,14479,14258
NC_053022.1,47100000,0.899854,0.535177,47400000,21011,20988,19890
NC_053022.1,47400000,0.799958,0.54436,47700000,18592,17793,18266
NC_053022.1,47700000,0.884492,0.541783,48000000,15366,14231,14472
NC_053022.1,48000000,0.717555,0.53557,48300000,6550,6132,6071
NC_053022.1,48300000,0.90008,0.542267,48600000,11118,10307,10493
NC_053022.1,48600000,0.834037,0.52463,48900000,21350,21111,19964
NC_053022.1,48900000,0.822837,0.541177,49200000,18395,17885,17058
NC_053022.1,49200000,0.55519,0.517313,49500000,10025,9550,9421
NC_053022.1,49500000,0.909536,0.544603,49800000,18895,18068,17836
NC_053022.1,49800000,0.785328,0.548147,50100000,17377,16917,16413
NC_053022.1,50100000,0.81181,0.531243,50400000,19756,18810,18190
NC_053022.1,50400000,0.711275,0.54056,50700000,18388,17634,17339
NC_053022.1,50700000,0.596264,0.539077,51000000,15125,14047,13724
NC_053022.1,51000000,0.566257,0.52197,51300000,15122,14290,14061
NC_053022.1,51300000,0.797042,0.538917,51600000,18098,17963,17215
NC_053022.1,51600000,0.896432,0.533327,51900000,18376,17548,17320
NC_053022.1,51900000,0.819586,0.537957,52200000,17198,16569,16436
NC_053022.1,52200000,0.820738,0.55333,52500000,18962,18589,18774
NC_053022.1,52500000,0.941668,0.533903,52800000,19994,19436,19110
NC_053022.1,52800000,0.704478,0.548673,53100000,17982,17251,16809
NC_053022.1,53100000,0.73996,0.556597,53400000,17425,16923,16795
NC_053022.1,53400000,0.77515,0.553477,53700000,19740,19202,18699
NC_053022.1,53700000,0.933013,0.55595,54000000,59518,64693,50909
NC_053022.1,54000000,0.864047,0.555923,54300000,20938,20389,20443
NC_053022.1,54300000,0.935294,0.548867,54600000,22222,21254,20831
NC_053022.1,54600000,0.95518,0.55094,54900000,20444,20355,19874
NC_053022.1,54900000,0.741391,0.53063,55200000,17829,15521,15955
NC_053022.1,55200000,0.58978,0.531707,55500000,15697,15155,14915
NC_053022.1,55500000,0.912216,0.5239,55800000,20391,20399,19763
NC_053022.1,55800000,0.954119,0.512333,56100000,21039,20246,20242
NC_053022.1,56100000,0.941938,0.531087,56400000,19649,19408,18747
NC_053022.1,56400000,0.893722,0.5469,56700000,19067,18719,18667
NC_053022.1,56700000,0.937645,0.56088,57000000,21703,21470,20960
NC_053022.1,57000000,0.937579,0.543727,57300000,22963,21987,21748
NC_053022.1,57300000,0.88221,0.535097,57600000,21529,20780,20373
NC_053022.1,57600000,0.870996,0.531337,57900000,19269,18172,18314
NC_053022.1,57900000,0.875424,0.536063,58200000,22289,21261,21183
NC_053022.1,58200000,0.787747,0.55089,58500000,18663,18195,17880
NC_053022.1,58500000,0.88421,0.547243,58800000,19543,18817,18493
NC_053022.1,58800000,0.924284,0.551703,59100000,18986,18428,18184
NC_053022.1,59100000,0.885257,0.54881,59400000,19395,19055,18452
NC_053022.1,59400000,0.674282,0.530573,59700000,14995,14327,14258
NC_053022.1,59700000,0.793245,0.551233,60000000,19268,18854,18534
NC_053022.1,60000000,0.470466,0.555923,60300000,11668,10974,10995
NC_053022.1,60300000,0.890268,0.544983,60600000,22356,21370,21163
NC_053022.1,60600000,0.756141,0.54632,60900000,18665,17552,17349
NC_053022.1,60900000,0.910575,0.53509,61200000,21472,21173,20672
NC_053022.1,61200000,0.961239,0.527963,61500000,23007,22837,22115
NC_053022.1,61500000,0.849682,0.537783,61800000,20035,19179,18762
NC_053022.1,61800000,0.866295,0.543633,62100000,23514,22708,21825
NC_053022.1,62100000,0.792456,0.53274,62400000,20579,27208,23193
NC_053022.1,62400000,0.658007,0.535983,62700000,16020,14972,14703
NC_053022.1,62700000,0.737707,0.547763,63000000,14336,13864,13627
NC_053022.1,63000000,0.92664,0.529467,63300000,16554,16275,16050
NC_053022.1,63300000,0.872576,0.531623,63600000,16759,16249,15585
NC_053022.1,63600000,0.624565,0.533707,63900000,12174,10587,10469
NC_053022.1,63900000,0.780838,0.532507,64200000,18952,18679,18513
NC_053022.1,64200000,0.847725,0.533443,64500000,18417,17762,17445
NC_053022.1,64500000,0.871638,0.538743,64800000,19729,19401,18929
NC_053022.1,64800000,0.898607,0.54312,65100000,20753,20406,19745
NC_053022.1,65100000,0.899126,0.53826,65400000,22755,21966,21279
NC_053022.1,65400000,0.91218,0.551207,65700000,23493,22901,22820
NC_053022.1,65700000,0.932158,0.5315,66000000,21198,20400,20173
NC_053022.1,66000000,0.948459,0.549023,66300000,24469,23713,23133
NC_053022.1,66300000,0.964286,0.539723,66600000,21791,21399,20994
NC_053022.1,66600000,0.846254,0.544377,66900000,24323,23588,23111
NC_053022.1,66900000,0.869205,0.541983,67200000,20739,20340,19823
NC_053022.1,67200000,0.855118,0.53132,67500000,22378,24670,28358
NC_053022.1,67500000,0.599105,0.513263,67800000,13656,12948,13018
NC_053022.1,67800000,0.661023,0.53339,68100000,14662,13691,13490
NC_053022.1,68100000,0.94504,0.535093,68400000,18164,17606,17037
NC_053022.1,68400000,0.924236,0.54684,68700000,21919,20622,20413
NC_053022.1,68700000,0.875131,0.531707,69000000,28034,25923,26237
NC_053022.1,69000000,0.942804,0.548257,69300000,26044,25357,24531
NC_053022.1,69300000,0.94962,0.5502,69600000,18494,18221,18177
NC_053022.1,69600000,0.840623,0.527673,69900000,17274,17015,16477
NC_053022.1,69900000,0.777857,0.531663,70200000,18803,18855,17945
NC_053022.1,70200000,0.950676,0.53868,70500000,19659,19463,19209
NC_053022.1,70500000,0.841655,0.526073,70800000,19423,19103,18522
NC_053022.1,70800000,0.931828,0.541317,71100000,22703,21501,21134
NC_053022.1,71100000,0.705587,0.53514,71400000,19290,15888,17894
NC_053022.1,71400000,0.860859,0.54887,71700000,21383,21162,20399
NC_053022.1,71700000,0.860699,0.543843,72000000,25172,23767,23855
NC_053022.1,72000000,0.755167,0.531353,72300000,19894,19152,19024
NC_053022.1,72300000,0.879146,0.526087,72600000,18793,18456,18045
NC_053022.1,72600000,0.734585,0.538293,72900000,17611,17212,16711
NC_053022.1,72900000,0.481853,0.541387,73200000,12287,10895,11009
NC_053022.1,73200000,0.669965,0.53078,73500000,16082,15411,15299
NC_053022.1,73500000,0.557565,0.569357,73800000,12551,12114,12099
NC_053022.1,73800000,0.805847,0.550117,74100000,17173,16437,16257
NC_053022.1,74100000,0.824846,0.535917,74400000,19576,19074,18526
NC_053022.1,74400000,0.851937,0.54131,74700000,19044,18380,18238
NC_053022.1,74700000,0.812517,0.544167,75000000,16773,16057,15797
NC_053022.1,75000000,0.907131,0.54421,75300000,21116,20593,20181
NC_053022.1,75300000,0.904018,0.541023,75600000,20275,19832,19090
NC_053022.1,75600000,0.939568,0.541453,75900000,21119,20168,20107
NC_053022.1,75900000,0.813645,0.520097,76200000,20229,19823,19555
NC_053022.1,76200000,0.814541,0.52754,76500000,17843,17306,16945
NC_053022.1,76500000,0.461688,0.54121,76800000,11962,11727,11564
NC_053022.1,76800000,0.513,0.54102,77100000,13095,11765,11383
NC_053022.1,77100000,0.543797,0.553313,77400000,17255,12197,12111
NC_053022.1,77400000,0.717267,0.54668,77700000,16916,16278,15770
NC_053022.1,77700000,0.88726,0.51081,78000000,20823,20308,20075
NC_053022.1,78000000,0.874386,0.558617,78300000,22135,21570,20951
NC_053022.1,78300000,0.922778,0.537257,78600000,19644,19150,19051
NC_053022.1,78600000,0.914943,0.53912,78900000,21221,20336,20088
NC_053022.1,78900000,0.729557,0.55315,79200000,17006,16357,16027
NC_053022.1,79200000,0.632433,0.54672,79500000,14130,13830,13402
NC_053022.1,79500000,0.793804,0.54272,79800000,16217,15526,15351
NC_053022.1,79800000,0.927292,0.561433,80100000,20281,19649,19376
NC_053022.1,80100000,0.835152,0.550177,80400000,17601,16728,16525
NC_053022.1,80400000,0.938291,0.548463,80700000,20879,20113,19837
NC_053022.1,80700000,0.939196,0.55631,81000000,22074,21658,21192
NC_053022.1,81000000,0.596587,0.530607,81300000,15154,14758,14494
NC_053022.1,81300000,0.693113,0.54911,81600000,19241,18597,18556
NC_053022.1,81600000,0.616619,0.555983,81900000,14504,13940,13733
NC_053022.1,81900000,0.572441,0.538483,82200000,15722,15085,14636
NC_053022.1,82200000,0.690219,0.543257,82500000,18156,17949,17495
NC_053022.1,82500000,0.93379,0.546583,82800000,20319,19670,19186
NC_053022.1,82800000,0.823118,0.524817,83100000,18551,18135,17745
NC_053022.1,83100000,0.931242,0.526213,83400000,21259,20692,20067
NC_053022.1,83400000,0.853396,0.54404,83700000,22308,21333,20871
NC_053022.1,83700000,0.912612,0.562377,84000000,21100,20665,20374
NC_053022.1,84000000,0.914072,0.55196,84300000,21318,21119,20678
NC_053022.1,84300000,0.681091,0.535427,84600000,15996,14919,14858
NC_053022.1,84600000,0.515047,0.545973,84900000,11383,10723,10781
NC_053022.1,84900000,0.675463,0.532633,85200000,16747,15194,15514
NC_053022.1,85200000,0.948207,0.54587,85500000,20328,19767,19698
NC_053022.1,85500000,0.75493,0.53413,85800000,18655,18042,17725
NC_053022.1,85800000,0.859751,0.53169,86100000,20661,20132,19529
NC_053022.1,86100000,0.9505,0.519017,86400000,21011,20666,20362
NC_053022.1,86400000,0.88794,0.533177,86700000,24006,23065,22555
NC_053022.1,86700000,0.93796,0.511943,87000000,22273,22156,21665
NC_053022.1,87000000,0.622309,0.539273,87300000,16652,16242,12048
NC_053022.1,87300000,0.742951,0.533897,87600000,19954,18879,18623
NC_053022.1,87600000,0.6292,0.546663,87900000,16722,15932,15698
NC_053022.1,87900000,0.807281,0.54168,88200000,18762,18204,17698
NC_053022.1,88200000,0.942889,0.55204,88500000,21599,20522,20466
NC_053022.1,88500000,0.719147,0.544547,88800000,16513,16093,15741
NC_053022.1,88800000,0.904974,0.542783,89100000,22095,21331,21071
NC_053022.1,89100000,0.926054,0.547203,89400000,20741,19985,19808
NC_053022.1,89400000,0.881609,0.536063,89700000,22601,21536,21241
NC_053022.1,89700000,0.875547,0.55582,90000000,19775,19804,19193
NC_053022.1,90000000,0.709669,0.526193,90300000,15452,14889,14521
NC_053022.1,90300000,0.754219,0.518677,90600000,16721,16254,15944
NC_053022.1,90600000,0.905409,0.540333,90900000,21073,20288,20066
NC_053022.1,90900000,0.629108,0.537353,91200000,14072,13625,13513
NC_053022.1,91200000,0.715551,0.53549,91500000,15480,14764,14501
NC_053022.1,91500000,0.799617,0.5441,91800000,17454,17558,16909
NC_053022.1,91800000,0.794008,0.543273,92100000,18058,17355,16849
NC_053022.1,92100000,0.857195,0.544647,92400000,20273,19983,19413
NC_053022.1,92400000,0.910337,0.539313,92700000,21322,21232,20306
NC_053022.1,92700000,0.685418,0.55299,93000000,15194,14884,14668
NC_053022.1,93000000,0.637233,0.52584,93300000,17955,17172,16771
NC_053022.1,93300000,0.927807,0.536147,93600000,20339,19666,19546
NC_053022.1,93600000,0.64116,0.544953,93900000,16286,15354,15272
NC_053022.1,93900000,0.804064,0.55197,94200000,20421,20059,19510
NC_053022.1,94200000,0.910949,0.52941,94500000,22473,21542,21077
NC_053022.1,94500000,0.823692,0.51939,94800000,18114,17638,17419
NC_053022.1,94800000,0.845943,0.55326,95100000,18879,18803,18445
NC_053022.1,95100000,0.805419,0.541,95400000,19778,19647,18926
NC_053022.1,95400000,0.951483,0.54451,95700000,20187,19668,19530
NC_053022.1,95700000,0.95138,0.546017,96000000,19745,19259,18768
NC_053022.1,96000000,0.885478,0.552903,96300000,21776,21207,20750
NC_053022.1,96300000,0.880383,0.53995,96600000,20785,19904,19563
NC_053022.1,96600000,0.702411,0.540337,96900000,21625,19729,19695
NC_053022.1,96900000,0.843819,0.536743,97200000,20822,20234,19745
NC_053022.1,97200000,0.909513,0.523997,97500000,20830,20564,19862
NC_053022.1,97500000,0.875383,0.53685,97800000,22210,21056,20640
NC_053022.1,97800000,0.837468,0.536943,98100000,21411,20663,20759
NC_053022.1,98100000,0.651942,0.534423,98400000,16322,15853,15547
NC_053022.1,98400000,0.917066,0.548743,98700000,23042,22720,22150
NC_053022.1,98700000,0.718609,0.52869,99000000,17496,17313,16835
NC_053022.1,99000000,0.898912,0.54379,99300000,25372,24398,24428
NC_053022.1,99300000,0.891405,0.535727,99600000,19983,19066,18517
NC_053022.1,99600000,0.730863,0.523143,99900000,17114,16776,16452
NC_053022.1,99900000,0.530121,0.51186,100200000,14337,12970,12733
NC_053022.1,100200000,0.856084,0.54462,100500000,20729,19711,19456
NC_053022.1,100500000,0.94193,0.534497,100800000,22707,22284,21821
NC_053022.1,100800000,0.904909,0.52787,101100000,20417,19716,18977
NC_053022.1,101100000,0.793409,0.514767,101400000,21122,20015,19582
NC_053022.1,101400000,0.922615,0.54749,101700000,23435,21900,22031
NC_053022.1,101700000,0.904668,0.533183,102000000,22998,21994,21709
NC_053022.1,102000000,0.927527,0.539563,102300000,21584,20899,20152
NC_053022.1,102300000,0.945367,0.498147,102600000,21180,20548,20088
NC_053022.1,102600000,0.962425,0.538497,102900000,24377,23615,23120
NC_053022.1,102900000,0.936639,0.541133,103200000,22354,21362,20968
NC_053022.1,103200000,0.796744,0.53322,103500000,19471,18840,17961
NC_053022.1,103500000,0.798395,0.506237,103800000,19337,18244,18245
NC_053022.1,103800000,0.633993,0.539777,104100000,16599,15605,15390
NC_053022.1,104100000,0.833571,0.5454,104400000,20207,19281,19177
NC_053022.1,104400000,0.75917,0.56908,104700000,20046,19182,18836
NC_053022.1,104700000,0.926059,0.539723,105000000,21668,20608,20354
NC_053022.1,105000000,0.92777,0.539147,105300000,22646,21953,21623
NC_053022.1,105300000,0.739381,0.531387,105600000,18828,18250,18225
NC_053022.1,105600000,0.610728,0.533237,105900000,13386,13050,12779
NC_053022.1,105900000,0.565682,0.52693,106200000,11794,10456,10319
NC_053022.1,106200000,0.702244,0.526153,106500000,17679,17092,16708
NC_053022.1,106500000,0.893537,0.524857,106800000,21330,20650,20136
NC_053022.1,106800000,0.946306,0.52635,107100000,22092,22769,21278
NC_053022.1,107100000,0.89305,0.5463,107400000,21528,20671,20506
NC_053022.1,107400000,0.717206,0.54957,107700000,17183,16328,15888
NC_053022.1,107700000,0.905487,0.541307,108000000,22379,21176,21214
NC_053022.1,108000000,0.924899,0.53736,108300000,22048,21675,21419
NC_053022.1,108300000,0.863165,0.524817,108600000,23099,21902,21733
NC_053022.1,108600000,0.835834,0.536257,108900000,21524,20572,20305
NC_053022.1,108900000,0.780297,0.540933,109200000,93382,88524,66959
NC_053022.1,109200000,0.86203,0.54346,109500000,20102,19594,19116
NC_053022.1,109500000,0.906645,0.537693,109800000,22975,22505,21465
NC_053022.1,109800000,0.908265,0.522263,110100000,22118,21670,21053
NC_053022.1,110100000,0.89667,0.535897,110400000,24354,23492,23236
NC_053022.1,110400000,0.566694,0.531563,110700000,13079,12657,12595
NC_053022.1,110700000,0.762783,0.516227,111000000,18935,18507,17944
NC_053022.1,111000000,0.912938,0.545493,111300000,23179,22623,22542
NC_053022.1,111300000,0.906023,0.53418,111600000,25606,23737,23712
NC_053022.1,111600000,0.903698,0.541233,111900000,22354,21574,21417
NC_053022.1,111900000,0.946781,0.523013,112200000,21456,20747,20255
NC_053022.1,112200000,0.737775,0.547943,112500000,17478,17194,16619
NC_053022.1,112500000,0.685051,0.546117,112800000,17360,15897,16065
NC_053022.1,112800000,0.950668,0.531427,113100000,22074,21377,21160
NC_053022.1,113100000,0.975906,0.533567,113400000,21496,20974,20935
NC_053022.1,113400000,0.898602,0.546193,113700000,23763,22679,22193
NC_053022.1,113700000,0.75204,0.539753,114000000,18538,17911,17672
NC_053022.1,114000000,0.7266,0.545727,114300000,17720,17072,16858
NC_053022.1,114300000,0.660272,0.533557,114600000,15122,14139,14270
NC_053022.1,114600000,0.612696,0.520677,114900000,14307,13266,13058
NC_053022.1,114900000,0.94734,0.53637,115200000,22131,21686,21142
NC_053022.1,115200000,0.786387,0.536263,115500000,19668,18744,18230
NC_053022.1,115500000,0.895694,0.53952,115800000,22894,22099,21985
NC_053022.1,115800000,0.749827,0.52987,116100000,17480,16890,16637
NC_053022.1,116100000,0.948803,0.533653,116400000,22834,21766,21574
NC_053022.1,116400000,0.937785,0.533197,116700000,20779,20425,19716
NC_053022.1,116700000,0.95528,0.523757,117000000,19690,19036,18782
NC_053022.1,117000000,0.922836,0.534433,117300000,20657,20512,19881
NC_053022.1,117300000,0.717921,0.540023,117600000,18218,17874,17389
NC_053022.1,117600000,0.944647,0.55843,117900000,19976,19384,19382
NC_053022.1,117900000,0.972533,0.50867,118200000,22000,21627,20983
NC_053022.1,118200000,0.900935,0.54277,118500000,20278,19837,19005
NC_053022.1,118500000,0.70011,0.533127,118800000,15792,15464,15009
NC_053022.1,118800000,0.761307,0.532473,119100000,28574,24143,25161
NC_053022.1,119100000,0.813544,0.52273,119400000,20069,19932,19376
